ghsa_id,split,severity,cwe_ids,semgrep_pro,codeql_secext
GHSA-h2v7-xc88-xx8c,train,medium,,0,0
GHSA-h2vw-ph2c-jvwf,test,medium,,0,0
GHSA-h3f9-mjwj-w476,test,high,,0,1
GHSA-h3rm-6x7g-882f,test,medium,CWE-88,0,0
GHSA-h3x4-hc5v-v2gm,train,medium,CWE-40,0,0
GHSA-h43v-27wg-5mf9,test,medium,,0,0
GHSA-h4jx-hjr3-fhgc,test,high,CWE-266;CWE-863,0,0
GHSA-h5hg-h7rr-gpf3,test,high,,1,1
GHSA-h656-5vcf-cm23,test,medium,CWE-284;CWE-404;CWE-406;CWE-770,0,0
GHSA-h7f7-89mm-pqh6,test,medium,,0,1
GHSA-h89v-j3x9-8wqj,train,medium,CWE-400,0,0
GHSA-h97f-6pqj-q452,train,low,CWE-918,0,0
GHSA-h9g4-589h-68xv,train,high,CWE-306,1,1
GHSA-h9xm-j4qg-fvpg,train,medium,CWE-284;CWE-863,0,0
GHSA-hc5h-pmr3-3497,test,critical,,1,0
GHSA-hff7-ccv5-52f8,train,medium,CWE-290,0,0
GHSA-hfpr-jhpq-x4rm,test,medium,CWE-863,0,0
GHSA-hhff-fj5f-qg48,train,medium,,0,0
GHSA-hhq4-97c2-p447,train,low,,0,0
GHSA-hjvp-qhm6-wrh2,test,medium,CWE-15;CWE-863,0,0
GHSA-hr8g-2q7x-3f4w,test,low,CWE-200,0,0
GHSA-hv93-r4j3-q65f,train,high,CWE-330;CWE-639,0,0
GHSA-hwpq-rrpf-pgcq,test,high,CWE-436;CWE-863,0,1
GHSA-hxvm-xjvf-93f3,test,medium,CWE-184,0,0
GHSA-j26j-7qc4-3mrf,test,medium,CWE-639;CWE-862,0,0
GHSA-j27p-hq53-9wgc,train,high,CWE-400,0,0
GHSA-j425-whc4-4jgc,train,medium,CWE-15;CWE-693,0,1
GHSA-j4c5-89f5-f3pm,test,low,CWE-918,1,0
GHSA-j4c9-w69r-cw33,test,medium,CWE-285;CWE-863,0,0
GHSA-j4xf-96qf-rx69,train,medium,CWE-639;CWE-863,1,0
GHSA-j6c7-3h5x-99g9,test,medium,CWE-78,0,0
GHSA-j7p2-qcwm-94v4,test,critical,CWE-183,0,1
GHSA-j9pv-rrcj-6pfx,train,low,,0,0
GHSA-jccr-rrw2-vc8h,test,high,CWE-185,0,0
GHSA-jf25-7968-h2h5,test,medium,CWE-863,0,0
GHSA-jfv4-h8mc-jcp8,train,low,CWE-283,1,0
GHSA-jhpv-5j76-m56h,test,medium,,0,0
GHSA-jj6q-rrrf-h66h,test,low,,1,1
GHSA-jj82-76v6-933r,train,medium,CWE-78;CWE-863,1,1
GHSA-jjw7-3vjf-fg5j,train,medium,,1,0
GHSA-jmm5-fvh5-gf4p,train,medium,CWE-208,0,0
GHSA-jmmg-jqc7-5qf4,test,high,CWE-287;CWE-307;CWE-346,0,0
GHSA-jp4j-q5fc-58gv,test,medium,,0,0
GHSA-jq3f-vjww-8rq7,train,high,CWE-400,0,0
GHSA-jq4x-98m3-ggq6,train,medium,CWE-22,0,0
GHSA-jqpq-mgvm-f9r6,train,high,CWE-78;CWE-427;CWE-807,1,0
GHSA-jrvc-8ff5-2f9f,train,high,CWE-918,0,0
GHSA-jv6r-27ww-4gw4,train,medium,CWE-285;CWE-863,1,0
GHSA-jwf4-8wf4-jf2m,test,medium,CWE-863,0,0
GHSA-jwrq-8g5x-5fhm,test,medium,,0,0
GHSA-jxrq-8fm4-9p58,train,medium,CWE-59,0,1
GHSA-m34q-h93w-vg5x,test,high,,0,0
GHSA-m69h-jm2f-2pv8,test,medium,CWE-285;CWE-863,0,0
GHSA-m6fx-m8hc-572m,test,medium,,0,0
GHSA-m7x8-2w3w-pr42,train,medium,CWE-78,0,0
GHSA-m866-6qv5-p2fg,test,medium,CWE-184,0,0
GHSA-m8v2-6wwh-r4gc,train,medium,CWE-22;CWE-59,0,0
GHSA-mc68-q9jw-2h3v,train,high,CWE-78,0,1
GHSA-mf5g-6r6f-ghhm,train,medium,CWE-307;CWE-521,0,0
GHSA-mfg5-7q5g-f37j,train,high,CWE-400;CWE-770,1,0
GHSA-mgrq-9f93-wpp5,train,high,CWE-22;CWE-59,0,0
GHSA-mhgq-xpfq-6r66,train,medium,CWE-269;CWE-862,0,0
GHSA-mhr7-2xmv-4c4q,test,medium,,0,0
GHSA-mj59-h3q9-ghfh,test,medium,CWE-427;CWE-454;CWE-829,0,0
GHSA-mj5r-hh7j-4gxf,train,medium,CWE-284;CWE-290,1,0
GHSA-mp5h-m6qj-6292,train,high,CWE-345,1,0
GHSA-mqr9-vqhq-3jxw,train,medium,,0,1
GHSA-mr32-vwc2-5j6h,train,high,,1,0
GHSA-mr34-9552-qr95,test,medium,CWE-22;CWE-73,0,0
GHSA-mv9j-6xhh-g383,train,high,CWE-285;CWE-306,0,0
GHSA-mw7w-g3mg-xqm7,train,medium,CWE-288;CWE-863,0,0
GHSA-mwcg-wfq3-4gjc,train,medium,CWE-59;CWE-367,0,0
GHSA-p25h-9q54-ffvw,train,high,CWE-22,0,0
GHSA-p464-m8x6-vhv8,train,medium,,0,0
GHSA-p4wh-cr8m-gm6c,test,medium,CWE-184;CWE-829,0,0
GHSA-p4x4-2r7f-wjxg,test,high,,0,0
GHSA-p536-vvpp-9mc8,train,medium,CWE-400,0,1
GHSA-pchc-86f6-8758,test,high,,0,0
GHSA-pfv7-rr5m-qmv6,test,medium,,1,0
GHSA-pg2v-8xwh-qhcc,train,medium,CWE-918,0,0
GHSA-pj5x-38rw-6fph,train,medium,CWE-78,0,1
GHSA-pjvx-rx66-r3fg,train,medium,CWE-639;CWE-863,1,0
GHSA-ppwq-6v66-5m6j,train,medium,CWE-200;CWE-863,0,0
GHSA-pv58-549p-qh99,train,high,CWE-345,1,0
GHSA-pw7h-9g6p-c378,train,medium,CWE-285;CWE-863,0,0
